date,text
2018-03-28 12:57:00.000,Penumpang @CommuterLine jalur TNG - DURI yang belum bikin laporan resmi ke @LAPOR1708 di: http:// lapor.go.id  yuk laporkan saja! Ini ikhtiar kita demi kenyamanan dan keselamatan kita bersama. Kalau komplain ke akun @CommuterLine tidak direspon kita pakai jalur resmi. pic.twitter.com/EJnziK9mWk
2018-03-28 12:45:00.000,Laporin ke @LAPOR1708 di: http:// lapor.go.id aja. Kalo cuma laporan ke admin @CommuterLine nggak akan ngaruh. Dia cuma bisa ngetik jawaban CTRL + C CTRL + V dari template di notepad dia. Betul gak Min @CommuterLine ? Udah terima gaji blm Min? Yang semangat ya kerjanya...
2018-03-28 12:25:00.000,KPK Tantang Bos Pajak Pungut Rp40 T dari Sektor Kelapa Sawit http:// cnn.id/286491 #pajak #kelapasawit #pajakkelapasawit @KemenkeuRI @DitjenPajakRI @KPK_RI @LAPOR1708
2018-03-28 11:04:00.000,Mohon maaf mohon menunggu dihubungi oleh pihak Alfamart Sahabat. :) ^ad
2018-03-28 11:03:00.000,Mohon maaf mohon menunggu dihubungi oleh pihak Alfamart Sahabat. :) ^ad
2018-03-28 10:55:00.000,Buat aduan ja ke pihak berwenang mbak sy pernah di permalukan n dibentak ditempat umum tp gak da follow up ditambah pernah mengalami hampir jatuh krna salah buka pintu namun tak da follow up @jokowi @aniesbaswedan @detikcom @DKIJakarta @LAPOR1708 @qluesmartcity @DivHumas_Polri
2018-03-28 10:50:00.000,Dibandar lampung masi banyak PERDANA KUOTA tanpa registrasi beredar tolong ditindak lanjuti
2018-03-28 10:50:00.000,Mohon @DKIJakarta @aniesbaswedan @sandiuno @kemenhub151 @jokowi @detikcom @LAPOR1708 @qluesmartcity perhatikan aduan masyarakat. Tolong lihat kondisi real trans yg Sangat2 memperhatikan. Bahkan aduan masyarakat byk diabaikan n tak da follow up
2018-03-28 10:48:00.000,[LIVE REPORT] Sesi diskusi kelompok penentuan roadmap pengelolaan LAPOR! pic.twitter.com/NqWkxWqstl
2018-03-28 10:44:00.000,Katanya 3 x 24 jam akan ada konfirmasi! Ini sudah hari keempat Dr aduan sy pada hari Sabtu? Tolong pihak terkait coorperatif dg penipuan yg sering terjadi di Alfamart biar gak selalu sering masyarakat ditipu ini sudah kriminal yg harus ada ketegasan n sanksi!
2018-03-28 10:37:00.000,@LAPOR1708
2018-03-28 10:29:00.000,Bagaimana kejelasan aduan saya terhadap penipuan saat berbelanja di Alfamart Jatijajar Baru 24 March 2018 yg mana Bonus Diskon dan Promo Nipu dan Sangat2 merugikan. Mohon kejelasannya!
2018-03-28 10:22:00.000,Bagaimana dg saldo Kredit Uber gift Penumpang @Uber_IDN @Uber @Uber_Support Mohon bantuan n kejelasan buat penumpang @jokowi @detikcom @LAPOR1708 @Kemenkumham_RI @DivHumas_Polri @KemenkeuRI @bank_indonesia @CNNIndonesia @kemenhub151 @kemkominfo @tribunnews @YLKI_ID
2018-03-28 10:16:00.000,Penumpang @CommuterLine jalur TNG - DURI yang belum bikin laporan resmi ke @LAPOR1708 di: http:// lapor.go.id  yuk laporkan saja! Ini ikhtiar kita demi kenyamanan dan keselamatan kita bersama. Kalau komplain ke akun @CommuterLine tidak direspon kita pakai jalur resmi. pic.twitter.com/sKevSPu1kJ
2018-03-28 09:49:00.000,Untuk wargi Kota Bandung silahkan laporkan kejadian gawat darurat ke Bandung Command Center. @BDG_CommandCtr @LAPOR1708 @DiskominfoBdg @ahyaniR13 @infobdg @PRFMnews @kemkominfo pic.twitter.com/D2zVp6hwXC
2018-03-28 09:16:00.000,Akhirnya masuk @detikcom juga nih @ndika002 . Bapak Menteri @BudiKaryaS tolong agar menjadi perhatian dan segera ditindaklanjuti. @OmbudsmanRI137 @LAPOR1708 @YLKI_ID apakah masih perlu dibuat laporan resminya? @CommuterLine @KAI121 @RailinkARS @kemenhub151 tolong lebih peka lagi!
2018-03-28 09:09:00.000,Oke ini ternyata ada http:// lapor.go.id twitternya @. LAPOR1708 tp blm baca juga sih kayak apa alurnya atau ada syaratnya apa ngga https:// twitter.com/icasty/status/ 978813997892775937 …
2018-03-28 08:40:00.000,Integrasi Sistem LAPOR! (Layanan Aspirasi dan Pengaduan Online Rakyat) lingkungan Kementerian Kelautan dan Perikanan @susipudjiastuti @kkpgoid @DitjenPRL @bpsplpontianak @LAPOR1708 dikelola bersama oleh @KSPgoid @kempanrb @OmbudsmanRI137
2018-03-28 08:35:00.000,Ayo kita rame2 @LAPOR1708 @CommuterLine Jalur 5 TNG -DURI ke @OmbudsmanRI137 @YLKI_ID @kemenhub151 @KAI121 @RailinkARS @BudiKaryaS @KemenBUMN krn kebijakannya membahayakan nyawa penumpang CL jalur TNG - DURI. Tiap hari kl mo komplain mslh CL jgn lupa jg utk mention mereka trs.
